,,Serial,Serial,Serial,Parallel p_1,Parallel p_1,Parallel p_1
C(30,15),0.26394,0.00257,30,0.19046,0.00119,30
C(31,16),0.58408,0.00236,30,0.40125,0.00245,30
C(32,16),1.12081,0.00506,30,0.78888,0.00277,30
C(33,17),2.97087,0.00346,30,1.59476,0.00169,30
C(34,17),5.69962,0.00252,30,3.11791,0.00249,30
C(35,18),10.93589,0.01899,30,6.3674,0.00559,30
C(36,18),21.04171,0.05114,30,12.48004,0.00998,30
C(37,19),39.78647,0.03657,30,26.84845,0.36247,30
C(38,19),76.7713,0.06293,30,52.79277,0.41014,30
C(39,20),172.9007,0.08584,30,117.5842,0.0799,30
C(40,20),333.5432,0.12844,30,231.2475,0.14268,30
