N,R,Threads,Rank,D,Median_s,Mean_s,SD_s,Samples,Delta_vs_Best_pct,Welch_t_vs_Best,P_Value_vs_Best,Is_Significantly_Slower
30,15,56,1,7,0.005354,0.013182,0.010235,30,0.0,N/A,N/A,Baseline
30,15,56,2,8,0.007339,0.007341,5e-06,30,-44.315,3.1262,4.004e-03,Yes
30,15,56,3,6,0.009444,0.009407,0.000127,30,-28.643,2.0205,5.265e-02,No
30,15,56,4,9,0.012784,0.012787,2.7e-05,30,-3.003,0.2118,8.337e-01,No
30,15,56,5,5,0.024006,0.02373,0.000473,30,80.011,-5.6383,4.252e-06,Yes
32,16,56,1,7,0.017614,0.017606,6.5e-05,30,0.0,N/A,N/A,Baseline
32,16,56,2,8,0.018663,0.018669,2.4e-05,30,6.035,-84.243,1.011e-43,Yes
32,16,56,3,9,0.029575,0.029576,2.3e-05,30,67.984,-952.7647,1.741e-81,Yes
32,16,56,4,6,0.04273,0.042043,0.001164,30,138.795,-114.8294,2.605e-40,Yes
32,16,56,5,5,0.08135,0.081374,0.000258,30,362.187,-1311.2299,1.270e-78,Yes
34,17,56,1,7,0.06385,0.063888,0.000162,30,0.0,N/A,N/A,Baseline
34,17,56,2,8,0.065841,0.065899,0.000261,30,3.147,-35.7902,1.639e-36,Yes
34,17,56,3,9,0.082123,0.082331,0.001075,30,28.866,-92.9293,8.366e-39,Yes
34,17,56,4,6,0.136419,0.136302,0.001239,30,113.343,-317.5094,1.860e-54,Yes
34,17,56,5,5,0.284809,0.284867,0.000815,30,345.881,-1456.5227,3.581e-77,Yes
36,18,56,1,8,0.2585,0.258655,0.000709,30,0.0,N/A,N/A,Baseline
36,18,56,2,7,0.263732,0.264257,0.003044,30,2.166,-9.817,3.396e-11,Yes
36,18,56,3,9,0.273909,0.2743,0.001683,30,6.048,-46.9269,6.402e-36,Yes
36,18,56,4,6,0.497456,0.491736,0.01692,30,90.112,-75.3862,6.363e-35,Yes
36,18,56,5,5,1.149216,1.149388,0.001689,30,344.371,-2663.5408,5.343e-104,Yes
38,19,56,1,7,0.853849,0.853872,0.002888,30,0.0,N/A,N/A,Baseline
38,19,56,2,8,0.865561,0.867071,0.004464,30,1.546,-13.5968,2.299e-18,Yes
38,19,56,3,9,1.003319,1.003883,0.003347,30,17.568,-185.8694,8.984e-81,Yes
38,19,56,4,6,1.959521,1.958924,0.007191,30,129.417,-781.062,9.507e-82,Yes
38,19,56,5,5,4.912143,4.913086,0.010034,30,475.389,-2129.264,3.503e-88,Yes
40,20,56,1,9,3.230666,3.241697,0.025503,30,0.0,N/A,N/A,Baseline
40,20,56,2,8,3.311682,3.31192,0.006647,30,2.166,-14.5941,6.223e-16,Yes
40,20,56,3,7,3.334506,3.335348,0.011802,30,2.889,-18.2535,2.929e-21,Yes
40,20,56,4,6,7.840318,7.843093,0.018613,30,141.944,-798.2421,6.252e-110,Yes
40,20,56,5,5,20.588812,20.574879,0.052082,30,534.695,-1637.1159,7.141e-103,Yes
